9.000;0.000;9143.000;
9.000;0.000;914469.000;
9.000;0.000;2890995.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9147.000;
9.000;0.000;914809.000;
9.000;0.000;2924976.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9152.000;
9.000;0.000;915262.000;
9.000;0.000;2970276.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9156.000;
9.000;0.000;90.000;
9.000;0.000;9146.000;
9.000;0.000;914695.000;
9.000;0.000;90.000;
9.000;0.000;9147.000;
9.000;0.000;914809.000;
9.000;0.000;2924976.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9157.000;
9.000;0.000;915828.000;
9.000;0.000;3026911.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9156.000;
9.000;0.000;915715.000;
9.000;0.000;3015584.000;
9.000;0.000;0.000;
0
9.000;0.000;90.000;
9.000;0.000;9135.000;
9.000;0.000;913564.000;
9.000;0.000;2800386.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9163.000;
9.000;0.000;916394.000;
9.000;0.000;3083539.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9141.000;
9.000;0.000;914243.000;
9.000;0.000;2868348.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9155.000;
9.000;0.000;915602.000;
9.000;0.000;3004257.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9152.000;
9.000;0.000;915262.000;
9.000;0.000;2970276.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9148.000;
9.000;0.000;914923.000;
9.000;0.000;2936303.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9151.000;
9.000;0.000;915149.000;
9.000;0.000;2958957.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9150.000;
9.000;0.000;915036.000;
9.000;0.000;2947630.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9156.000;
9.000;0.000;915715.000;
9.000;0.000;3015584.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9147.000;
9.000;0.000;914809.000;
9.000;0.000;2924976.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;90.000;
9.000;0.000;9152.000;
9.000;0.000;915262.000;
9.000;0.000;2970276.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9154.000;
9.000;0.000;915489.000;
9.000;0.000;2992930.000;
9.000;0.000;0.000;
0
9.000;0.000;90.000;
9.000;0.000;9146.000;
9.000;0.000;914695.000;
9.000;0.000;2913649.000;
9.000;0.000;0.000;
